method,n_steps,step_size,sigma,tweedie_scale,mode,cos,state_err,nll
tweedie,0,0.0,0.01,0.25,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.01,0.25,D_corrected,0.06545229076471593,80.01371643971652,1309.569483846426
tweedie,0,0.0,0.01,0.5,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.01,0.5,D_corrected,0.06545228971426198,80.01370640425012,1309.5694476217031
tweedie,0,0.0,0.01,1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.01,1.0,D_corrected,0.06545226340213084,80.01368610793725,1309.5693847686052
tweedie,0,0.0,0.01,2.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.01,2.0,D_corrected,0.06545222041143717,80.01364663708955,1309.5692521184683
tweedie,0,0.0,0.05,0.25,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.05,0.25,D_corrected,0.0654520295791059,80.01347835594788,1309.568685501814
tweedie,0,0.0,0.05,0.5,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.05,0.5,D_corrected,0.06545172841120106,80.01323145674542,1309.5678529888391
tweedie,0,0.0,0.05,1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.05,1.0,D_corrected,0.06545117694200187,80.01273932587355,1309.566189929843
tweedie,0,0.0,0.05,2.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.05,2.0,D_corrected,0.06545005770461465,80.01176222087815,1309.5628762543201
tweedie,0,0.0,0.1,0.25,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.1,0.25,D_corrected,0.06545117694200187,80.01273932587355,1309.566189929843
tweedie,0,0.0,0.1,0.5,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.1,0.5,D_corrected,0.06545005770461465,80.01176222087815,1309.5628762543201
tweedie,0,0.0,0.1,1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.1,1.0,D_corrected,0.06544779442808135,80.00983619876206,1309.5562732964754
tweedie,0,0.0,0.1,2.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.1,2.0,D_corrected,0.06544336726852329,80.00609853956848,1309.5431806147099
tweedie,0,0.0,0.25,0.25,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.25,0.25,D_corrected,0.065445292384954,80.00771511718631,1309.548887565732
tweedie,0,0.0,0.25,0.5,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.25,0.5,D_corrected,0.06543845841489837,80.0020756451413,1309.5286426395178
tweedie,0,0.0,0.25,1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.25,1.0,D_corrected,0.06542548877736287,79.99190775305033,1309.4892931878567
tweedie,0,0.0,0.25,2.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.25,2.0,D_corrected,0.06540439425126365,79.9760030079633,1309.4156009554863
tweedie,0,0.0,0.5,0.25,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.5,0.25,D_corrected,0.06542548877736287,79.99190775305033,1309.4892931878567
tweedie,0,0.0,0.5,0.5,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.5,0.5,D_corrected,0.06540439425126365,79.9760030079633,1309.4156009554863
tweedie,0,0.0,0.5,1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.5,1.0,D_corrected,0.06538475317631409,79.96192722488195,1309.2870057225227
tweedie,0,0.0,0.5,2.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,0.5,2.0,D_corrected,0.0654605960139314,80.0053785648197,1308.9849008768797
tweedie,0,0.0,1.0,0.25,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,1.0,0.25,D_corrected,0.06538475317631409,79.96192722488195,1309.2870057225227
tweedie,0,0.0,1.0,0.5,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,1.0,0.5,D_corrected,0.0654605960139314,80.0053785648197,1308.9849008768797
tweedie,0,0.0,1.0,1.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,1.0,1.0,D_corrected,0.06568184679646549,80.37567626638338,1308.2147279679775
tweedie,0,0.0,1.0,2.0,D_rollout,0.06545231114385786,80.01372612640262,1309.56951315701
tweedie,0,0.0,1.0,2.0,D_corrected,0.06621761967161022,82.20089140953496,1306.997504800558
