condition,dir_top1_acc,dir_top5_acc,dir_ce,mag_nll,total_nll,strategy,k_max,n,mean_dir_acc,mean_state_err,mean_direction_cosine,final_dir_acc,final_state_err,mel_distance_mean,mel_distance_std,n_audio
teacher_forced,0.154,0.4356,3.566787927246094,0.3966383834838867,3.9634263107299805,,,,,,,,,,,
argmax_k1,,,,,,argmax,1.0,100.0,0.12,0.7891498493403196,0.6540673241064792,0.12,0.7891498493403196,,,
argmax_k2,,,,,,argmax,2.0,200.0,0.175,0.9030600379128009,0.6396737361044891,0.23,1.0505571562796832,,,
argmax_k4,,,,,,argmax,4.0,400.0,0.1025,1.235433607243467,0.37186266917185945,0.02,1.6102398572862149,,,
argmax_k8,,,,,,argmax,8.0,800.0,0.05375,1.4235466400976293,0.1946016044345538,0.03,1.6674218232929707,,,
argmax_k16,,,,,,argmax,16.0,1600.0,0.0375,2419.8107511811604,0.09530643517673092,0.03,4727.198151711524,,,
categorical_k1,,,,,,categorical,1.0,100.0,0.08,0.8865302870422602,0.5575696323287817,0.08,0.8865302870422602,,,
categorical_k2,,,,,,categorical,2.0,200.0,0.06,1.0767632858222351,0.490362091237628,0.07,1.3008408607169986,,,
categorical_k4,,,,,,categorical,4.0,400.0,0.04,2.9222535081300887,0.265324691509811,0.0,7.460255912840366,,,
categorical_k8,,,,,,categorical,8.0,800.0,0.03125,6886.752317643994,0.14614125013440624,0.0,26320.66408459872,,,
categorical_k16,,,,,,categorical,16.0,1600.0,0.018125,28905.51097599075,0.07876294196784393,0.01,57462.77577273801,,,
top_p_k1,,,,,,top_p,1.0,100.0,0.09,0.9035499457269907,0.5102354546085004,0.09,0.9035499457269907,,,
top_p_k2,,,,,,top_p,2.0,200.0,0.065,1.1289606028981507,0.48843716831762424,0.05,1.302805663049221,,,
top_p_k4,,,,,,top_p,4.0,400.0,0.035,411.972467751354,0.31241828008881795,0.03,1643.840247322619,,,
top_p_k8,,,,,,top_p,8.0,800.0,0.0275,1988.649841521387,0.14405299850347017,0.0,4343.905125711858,,,
top_p_k16,,,,,,top_p,16.0,1600.0,0.0175,21138.510359170763,0.10659639832189759,0.01,55658.0444627288,,,
audio_k1,,,,,,,,,,,,,,0.05676496922969818,0.03650653534029126,10.0
audio_k2,,,,,,,,,,,,,,0.1625853594392538,0.13512782272492677,10.0
audio_k4,,,,,,,,,,,,,,0.3592143550515175,0.23454759868687527,10.0
audio_k8,,,,,,,,,,,,,,0.6027374908328056,0.344907663287953,10.0
