condition,sigma,k_max,n,state_err,direction_cosine,nan_count
dir_ar_argmax,,1,100,0.855942255537957,0.6540673241964424,0
dir_ar_argmax,,2,200,1.1314909291267394,0.6252801507680832,0
dir_ar_argmax,,4,400,1.4434512229263783,0.055527886659945264,0
dir_ar_argmax,,8,800,2.1915814624726773,0.0009721294297979455,0
dir_ar_argmax,,16,1600,3828.5656836239996,-0.12835994888557203,0
dir_ar_argmax_tweedie,0.1,1,100,0.7901986867375672,0.6540673174917302,0
dir_ar_argmax_tweedie,0.1,2,200,1.2265163516998292,0.6252801551049755,0
dir_ar_argmax_tweedie,0.1,4,400,1.7252692060172559,0.0029181940846957554,0
dir_ar_argmax_tweedie,0.1,8,800,1651.7650493447481,0.06998793559117918,0
dir_ar_argmax_tweedie,0.1,16,1600,14747.793903542459,0.03907663642635704,0
dir_ar_categorical,,1,100,0.9257467483170331,0.37519207988968317,0
dir_ar_categorical,,2,200,1.2395956296101212,0.5058265944005275,0
dir_ar_categorical,,4,400,3304.9483488981427,-0.08538284224093873,0
dir_ar_categorical,,8,800,6460.157440591902,-0.13040503093927336,0
dir_ar_categorical,,16,1600,98955.84125927358,-0.04161561626250647,0
dir_ar_categorical_tweedie,0.1,1,100,0.8278324930742383,0.49917498089170054,0
dir_ar_categorical_tweedie,0.1,2,200,1.2608644383586942,0.5506432937241179,0
dir_ar_categorical_tweedie,0.1,4,400,1655.957052461952,0.028773990954876174,0
dir_ar_categorical_tweedie,0.1,8,800,3864.7959898918866,-0.08413806280433256,0
dir_ar_categorical_tweedie,0.1,16,1600,141280.37050460727,0.009850828498122608,0
