k1,k2,theta_data,theta_shuffled,theta_random,delta_structure_deg
64,4,55.080632957897556,71.34550532332796,77.48000625844644,16.2648723654304
64,8,51.93393169147554,66.56166684813549,73.82345592921487,14.627735156659945
64,16,49.031580016784055,62.15254369308675,70.42331547334287,13.120963676302695
64,32,46.3591090414057,58.02741218635043,67.19571107772127,11.668303144944732
64,64,43.88846019017921,54.31254271734883,64.07807786908721,10.424082527169624
128,4,53.32696517041472,71.30081825418078,77.29337180914031,17.973853083766066
128,8,50.25651719868274,66.49955024595438,73.52660968886924,16.243033047271645
128,16,47.449382881261776,62.04300585690285,69.9813700559895,14.593622975641075
128,32,44.83622752056414,57.81902584165348,66.55046504888938,12.982798321089334
128,64,42.3427884113926,53.92881315088587,63.101864453253974,11.586024739493277
256,4,51.703850651064954,71.24182830438126,76.97773709718153,19.5379776533163
256,8,48.72881860584374,66.35592041895708,73.0568099356313,17.62710181311334
256,16,45.94579647780066,61.80870964761464,69.28682476517703,15.862913169813979
256,32,43.29921481269874,57.416627839631104,65.54418202724378,14.117413026932363
256,64,40.66320951340223,53.220631765338744,61.62418702744677,12.557422251936517
512,4,50.22237684144676,71.07980174035481,76.45735868408958,20.85742489890804
512,8,47.25474908774194,66.06380201340855,72.30227598831436,18.809052925666606
512,16,44.44788908960188,61.337138562006515,68.21792751828643,16.88924947240464
512,32,41.655606850609395,56.632522777003544,63.991146026111785,14.976915926394149
512,64,38.738398346766225,51.91044166080684,59.400198820130015,13.172043314040616
1024,4,48.76783395444545,70.74625354876567,75.67310933636016,21.97841959432021
1024,8,45.75924700811792,65.50652748808837,71.15629182049814,19.747280479970442
1024,16,42.81550874333609,60.43460759472266,66.60288720474114,17.61909885138657
1024,32,39.7392163318816,55.200216337096414,61.70246017141,15.461000005214823
1024,64,36.279004314208805,49.60601369618524,56.12533834280996,13.327009381976426
2048,4,47.31897146236443,70.09938650010498,74.47151580420547,22.78041503774055
2048,8,44.16539259418394,64.45699827857031,69.46715022188266,20.291605684386358
2048,16,40.923065902625744,58.81849750803619,64.2216143831363,17.895431605410447
2048,32,37.288673246134714,52.69927867703666,58.322224284306174,15.410605430901953
2048,64,32.69864118024954,45.57885261724735,51.095558643803436,12.88021143699781
