k2,condition,pesq,pesq,stoi,stoi,mel_l1,mel_l1
,,mean,std,mean,std,mean,std
16,GlobalVQ,1.1074075162410737,0.1735816191138409,0.36528209044849624,0.06720864928088274,4.701361179351807,0.8283007300986066
16,GroundTruth,1.3422610878944397,0.0640412477602414,0.8550211938105828,0.014815384680237813,0.9437171965837479,0.09235001837011189
16,RandomDir,1.0316475212574006,0.010289340309985235,0.29053550715714876,0.0461726273370386,6.842231345176697,0.7196977853060443
16,StateCondVQ,1.0550009429454803,0.04055937956699473,0.3827169003596385,0.057622030625400916,5.279613876342774,1.254152265549639
32,GlobalVQ,1.107407522201538,0.17358161715584072,0.365282083719705,0.06720865046261025,4.701361131668091,0.8283007074897262
32,GroundTruth,1.3422610342502594,0.0640413028788252,0.8550213052614952,0.01481540918622371,0.9437170475721359,0.09234974476241642
32,RandomDir,1.031647515296936,0.010289337098589783,0.29053549707506104,0.046172633722171376,6.842231369018554,0.719697821282873
32,StateCondVQ,1.0495359778404236,0.037601790577992816,0.38607437054847205,0.06656238665820462,5.269721102714539,1.1376815188272908
64,GlobalVQ,1.107407522201538,0.17358161715584072,0.3652820839941239,0.06720865041441584,4.701361131668091,0.8283007074897262
64,GroundTruth,1.3422610938549042,0.06404124163600686,0.8550211935487748,0.014815384622690792,0.9437171429395675,0.09234991987088094
64,RandomDir,1.0316475212574006,0.010289340309985235,0.29053548997411016,0.04617264749659136,6.842231392860413,0.7196977585489804
64,StateCondVQ,1.1288249433040618,0.3860696818000719,0.3666609016168719,0.03866299959767872,4.599051022529602,1.0593114255812632
